Participant,Widget,Location,TaskType,SelectionMethod,SRC,Trials,A,W,ID,Ae,We,IDe(bits),PT(ms),ST(ms),MT(ms),ER(%),TP(bps),TRE,TAC,MDC,ODC,MV,ME,MO
P6,Vertical,Right,1D,DT500,0,7,100,60,1.4150374983804868,105.57142857142856,53.08589542727166,1.5795136175317137,1569.0,514.2857142857143,2083.5714285714284,0.0,0.7580798987125126,0.0,0.0,0.0,0.4285714285714285,1.3185656121816328e-14,35.0,35.0
P6,Vertical,Left,1D,DT500,0,7,250,60,2.3692338081615767,237.1428571428572,44.7932013613533,2.65401631887642,3857.428571428572,528.5714285714286,4386.285714285715,0.0,0.6050714640481676,0.1428571428571428,0.0,0.0,1.1428571428571428,2.4818537112574727e-14,7.999999999999995,-7.999999999999995
P6,Vertical,Left,1D,DT500,0,7,100,40,1.8073549209101785,100.57142857142856,39.81378320680528,1.8180510969462325,1941.142857142857,518.5714285714286,2460.1428571428573,0.0,0.73900224601496,0.1428571428571428,0.0,0.0,1.0,9.546353636895218e-15,1.000000000000002,-1.000000000000002
P6,Vertical,Left,1D,DT500,0,7,100,60,1.4150374983804868,111.14285714285714,32.49113435175994,2.1442791891409803,1503.0,525.2857142857143,2029.142857142857,0.0,1.056741363277025,0.0,0.0,0.0,0.1428571428571428,9.718216054079652e-15,1.0000000000000009,-1.0000000000000009
P6,Vertical,Left,1D,DT500,0,7,500,40,3.754887499779624,494.8571428571428,42.99591994705938,3.6449404230564366,6173.428571428572,523.2857142857143,6697.285714285715,0.0,0.544241440272073,0.2857142857142857,0.0,0.0,1.4285714285714286,3.9230851224061317e-14,1.0000000000000038,-1.0000000000000038
P6,Vertical,Left,1D,DT500,0,7,500,60,3.222392419290665,505.7142857142857,45.763174654780016,3.591042877388187,5294.714285714285,521.2857142857143,5816.285714285715,0.0,0.6174117046155452,0.1428571428571428,0.0,0.0,1.0,4.053824783038452e-14,1.000000000000009,-1.000000000000009
P6,Vertical,Left,1D,DT500,0,7,250,40,2.857980993313141,253.7142857142857,31.05774159681177,3.196782606421442,3037.285714285714,529.4285714285714,3567.428571428572,0.0,0.896102764894686,0.0,0.0,0.0,0.7142857142857143,2.134479853736695e-14,1.000000000000003,-1.000000000000003
P6,Horizontal,Center,1D,DT500,0,7,250,60,2.3692338081615767,276.0,27.14511129411456,3.4812442506253065,4584.428571428572,529.1428571428571,5113.714285714285,0.0,0.680766279874208,0.0,0.0,0.0,0.5714285714285714,3.4105818440798934e-14,17.999999999999996,-17.999999999999996
P6,Horizontal,Center,1D,DT500,0,7,500,60,3.222392419290665,493.1428571428572,50.212098796926064,3.4357880350365293,5850.285714285715,524.0,6374.857142857143,0.0,0.5389592202683691,0.0,0.0,0.0,0.7142857142857143,4.316369903878471e-14,11.000000000000004,-11.000000000000004
P6,Horizontal,Center,1D,DT500,0,7,100,40,1.8073549209101785,103.85714285714286,32.491134351759946,2.0691784523055703,1797.142857142857,534.8571428571429,2332.5714285714284,0.0,0.8870804241878365,0.0,0.0,0.0,1.1428571428571428,1.3538632836823287e-14,11.000000000000002,-11.000000000000002
P6,Horizontal,Center,1D,DT500,0,7,100,60,1.4150374983804868,107.0,41.24851973421832,1.845603446222296,1718.2857142857142,527.1428571428571,2245.714285714286,0.0,0.8218335956460602,0.0,0.0,0.0,0.7142857142857143,1.3197569720854842e-14,11.0,-11.0
P6,Horizontal,Center,1D,DT500,0,7,500,40,3.754887499779624,506.57142857142856,38.09122615179629,3.83783231453722,6472.142857142857,515.8571428571429,6988.571428571428,0.0,0.5491583442714747,0.0,0.0,0.0,0.5714285714285714,4.4525415147621327e-14,11.000000000000012,-11.000000000000012
P6,Horizontal,Center,1D,DT500,0,7,250,40,2.857980993313141,239.1428571428572,48.94070005948674,2.5573806739253784,3625.714285714286,524.0,4150.285714285715,0.0,0.6161938839831216,0.1428571428571428,0.0,0.0,1.1428571428571428,2.1466532839731432e-14,11.000000000000004,-11.000000000000004
P6,Joystick,Center,2D,DT500,0,7,500,40,3.754887499779624,491.06459637690574,50.07032451504831,3.4339606321974623,8399.0,504.57142857142856,8904.142857142857,0.0,0.3856587531547472,0.2857142857142857,1.4285714285714286,2.142857142857143,0.8571428571428571,15.41997932864559,26.84218314896887,10.563456157603031
P6,Joystick,Center,2D,DT500,0,7,250,40,2.857980993313141,246.9158834909161,42.913186718461375,2.7557093602620264,4722.0,504.4285714285714,5227.0,0.0,0.5272066883990867,0.2857142857142857,0.7142857142857143,1.5714285714285714,0.7142857142857143,10.850616885323136,18.070608417031814,11.485184815191417
P6,Joystick,Center,2D,DT500,0,7,250,60,2.3692338081615767,241.3254500165893,65.30159794044093,2.2312947628426696,3462.714285714286,508.8571428571428,3972.285714285714,0.0,0.5617155772099075,0.0,1.1428571428571428,0.8571428571428571,0.1428571428571428,10.097678564671185,15.506957265794556,-2.317811819468073
P6,Joystick,Center,2D,DT500,0,7,500,60,3.222392419290665,493.33871675510494,52.0204732351942,3.390055314415498,5700.0,505.0,6205.714285714285,0.0,0.5462796316967884,0.0,0.7142857142857143,2.4285714285714284,0.0,17.61963668924494,26.909872698577484,17.62308625433026
