Participant,Widget,Location,Duration of Incorrect Selection (s)
P5,Vertical,Center,0.1538484060001792
P5,Vertical,Center,0.7490614490006919
P5,Vertical,Center,0.4388511359993572
P5,Vertical,Center,0.5438905689998137
P5,Vertical,Center,0.2435506849997182
P5,Vertical,Center,0.421070626999608
P5,Vertical,Center,0.2947346979999565
P5,Vertical,Center,0.1815978360000372
P5,Vertical,Center,0.133505232999596
P5,Vertical,Center,0.3805023979994075
P5,Vertical,Center,0.0334076460003416
P5,Vertical,Right,0.0334028909992412
P5,Joystick,Center,0.4024225840003055
P5,Joystick,Center,0.401583352999296
P5,Joystick,Center,0.6562973069994769
P5,Joystick,Center,0.4786352259998239
P5,Joystick,Center,0.0335659070005931
P5,Joystick,Center,0.1722946780009806
P5,Joystick,Center,0.1590213189992937
P5,Joystick,Center,0.3931888200004323
P5,Joystick,Center,0.0511011769995093
P5,Joystick,Center,0.1550454400003218
P5,Joystick,Center,0.0333503170004405
P5,Joystick,Center,0.3081550929982768
P5,Joystick,Center,0.0667306400009692
P5,Joystick,Center,0.1663129009994008
P5,Joystick,Center,0.182975861000159
P5,Joystick,Center,0.2154495969989511
P5,Vertical,Left,0.0337613639994742
P5,Vertical,Left,0.288857466999616
P5,Vertical,Left,0.2079412590001084
P5,Horizontal,Front,0.0507430650013702
P5,Horizontal,Front,0.1517584630000783
P5,Joystick,Front,0.3089797030006593
P5,Joystick,Front,0.0501106400006392
P5,Joystick,Front,0.3203908630002843
P5,Joystick,Front,0.1343998400006967
P5,Joystick,Front,0.1307765530000324
P5,Joystick,Front,0.2162829450007848
P5,Joystick,Front,0.438290453999798
P5,Joystick,Front,0.5774687900011486
P5,Joystick,Front,0.2688788399991608
P5,Joystick,Front,0.2199916939989634
P5,Joystick,Front,0.01671225499922
P5,Horizontal,Center,0.303386297000543
P5,Horizontal,Center,0.1960786870004085
P5,Horizontal,Center,0.172383766999701
P5,Horizontal,Center,0.1389222790003259
P5,Horizontal,Center,0.0886851310006022
P5,Horizontal,Center,0.1002137409996066
P5,Horizontal,Center,0.0166713250000611
P5,Horizontal,Center,0.3591903830001683
P5,Horizontal,Center,0.1002491850013029
P5,Horizontal,Center,0.1248247010007617
P5,Horizontal,Center,0.2096071369996934
P5,Horizontal,Center,0.1134196570001222
P5,Horizontal,Center,0.3916447289993812
P5,Horizontal,Center,0.0608001130003685
P5,Horizontal,Center,0.0333662980010558
P5,Horizontal,Center,0.192134533999706
P5,Horizontal,Center,0.3343743599998561
P5,Horizontal,Center,0.3458889339999587
P5,Horizontal,Center,0.1514046519987459
P5,Horizontal,Center,1.105383129999609
P5,Horizontal,Center,0.0680157660008262
P5,Horizontal,Rear,0.0893139670006348
P5,Horizontal,Rear,0.4184108350000315
P5,Horizontal,Rear,0.3591458949995285
P5,Horizontal,Rear,0.0673008929989009
P5,Horizontal,Rear,0.0166722800004208
P5,Horizontal,Rear,0.0987526570006593
P5,Horizontal,Rear,0.2725118739999743
P5,Horizontal,Rear,0.0500505550007801
P4,Joystick,Rear,0.1166852960013784
P4,Joystick,Rear,0.4000724520010408
P4,Joystick,Rear,0.2167135819981922
P4,Joystick,Rear,0.0833421509996696
P4,Joystick,Rear,0.3167237839988956
P4,Joystick,Rear,0.1666791569987253
P4,Joystick,Rear,0.4167285099974833
P4,Joystick,Rear,0.3667252939994796
P4,Joystick,Rear,0.0166678250025142
P4,Joystick,Rear,1.0668748780008173
P4,Joystick,Rear,0.200048392998724
P4,Joystick,Rear,0.2667222439995385
P4,Joystick,Rear,0.0166696920023241
P4,Joystick,Rear,0.533423300999857
P4,Joystick,Rear,0.7668114789994434
P4,Joystick,Rear,0.0666779259991017
P4,Joystick,Rear,0.3333849209993786
P4,Joystick,Rear,0.6334472009984893
P4,Joystick,Rear,0.7167885700000625
P4,Joystick,Rear,0.0500113050002255
P4,Joystick,Rear,0.350056670999038
P4,Joystick,Rear,0.1833811349970346
P4,Joystick,Rear,0.2833846579997043
P4,Joystick,Rear,0.2167170370012172
P4,Joystick,Rear,0.0833474920000298
P4,Joystick,Rear,0.3834084320005786
P4,Joystick,Rear,0.0833455819993105
P4,Joystick,Rear,0.1666921409996575
P4,Joystick,Rear,0.2167046210015542
P4,Joystick,Rear,0.1500141919968882
P4,Joystick,Rear,0.5500964550010394
P4,Vertical,Right,0.517030822000379
P4,Vertical,Right,0.083345230003033
P4,Vertical,Right,1.1669115879994931
P4,Vertical,Right,0.2667174280031759
P4,Vertical,Right,0.0333405700002913
P4,Vertical,Right,0.2833708380021562
P4,Vertical,Right,0.2001916200024425
P4,Vertical,Right,0.1333506280025176
P4,Vertical,Right,0.1000116420000267
P4,Vertical,Right,0.2503841859979729
P4,Vertical,Right,0.2333793770012562
P4,Vertical,Right,0.4834038640001381
P4,Vertical,Right,0.0833450530008121
P4,Vertical,Right,0.2500448770006187
P4,Vertical,Right,0.2838612649975403
