Participant,Widget,Location,TaskType,SelectionMethod,Trial,A,W,Ae,dx,PT(ms),ST(ms),MT(ms),Errors,TRE,TAC,MDC,ODC,MV,ME,MO
P9,Joystick,Center,2D,DT500,3,100.0,60.0,82.74639560909117,-14.746395609091216,2805,511,3317,0,0,0,0,0,8.233218464945365e-15,3.999999999999999,3.999999999999999
P9,Joystick,Center,2D,DT500,4,100.0,60.0,105.04261483160136,7.549823613418935,2831,500,3332,0,0,2,1,2,23.826959545959344,24.46211852980908,17.048439474258863
P9,Joystick,Center,2D,DT500,5,100.0,60.0,105.13734250392795,7.644551285745472,1998,500,2498,0,0,1,2,0,14.429481750085731,18.172699034119983,-16.74605179124324
P9,Joystick,Center,2D,DT500,6,100.0,60.0,112.25438665850952,14.761595440327092,2559,500,3060,0,0,1,2,0,13.911277919084808,12.861315591324622,-2.262988622475328
P9,Joystick,Center,2D,DT500,0,250.0,60.0,254.2112829275325,10.479304882076589,3281,500,3782,0,0,1,2,0,12.611901532019326,11.27932613576758,-4.509611394695716
P9,Joystick,Center,2D,DT500,1,250.0,60.0,239.42807494376973,-4.303903101686212,2996,500,3497,0,0,0,2,0,8.22829536742121,20.84482418373212,-20.84482418373212
P9,Joystick,Center,2D,DT500,2,250.0,60.0,236.22489814044323,-7.507079905012704,8179,501,8680,0,2,3,2,2,21.46846121810488,15.207614988210924,-3.3702531327475085
P9,Joystick,Center,2D,DT500,3,250.0,60.0,235.865989022728,-7.865989022727949,3654,500,4155,0,0,0,2,0,11.20077952080292,28.59558823529412,28.59558823529412
P9,Joystick,Center,2D,DT500,4,250.0,60.0,251.8469784221179,8.115000376661943,3516,500,4016,0,0,2,1,0,8.139316347632532,6.898743327164922,-2.575084789626445
P9,Joystick,Center,2D,DT500,5,250.0,60.0,216.2499951972796,-27.481982848176383,3320,500,3821,0,0,1,0,0,5.689454938981566,5.031679555047871,-1.024454171232306
P9,Joystick,Center,2D,DT500,6,250.0,60.0,247.4091687602269,3.6771907147709912,2692,500,3193,0,0,0,2,0,16.404668491388946,24.172088369030103,-23.76537103700996
P9,Joystick,Center,2D,DT500,0,500.0,40.0,495.7276820105714,8.263725919659626,5407,500,5908,0,0,1,4,0,12.875562434133766,16.469918098817843,13.823212853677411
